Token	POS-Tag	OOV	Id	Index	Documento
coleções	NOUN	0	5	3	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
exige	VERB	0	5	4	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
critérios	NOUN	0	5	5	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
técnicos	ADJ	0	5	6	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
rigorosos	ADJ	1	5	7	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
para	ADP	0	5	8	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
o	DET	0	5	9	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
descarte	NOUN	1	5	10	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
e	CCONJ	0	5	11	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
a	DET	0	5	12	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
aquisição	NOUN	0	5	13	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
de	ADP	0	5	14	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
novos	ADJ	0	5	15	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
títulos	NOUN	0	5	16	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
.	PUNCT	0	5	17	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
A	DET	0	6	0	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
catalogação	NOUN	1	6	1	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
descritiva	ADJ	1	6	2	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
utiliza	VERB	0	6	3	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
padrões	NOUN	0	6	4	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
internacionais	ADJ	0	6	5	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
como	ADP	0	6	6	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
o	DET	0	6	7	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
RDA	PROPN	1	6	8	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
e	CCONJ	0	6	9	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
o	DET	0	6	10	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
formato	NOUN	0	6	11	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
MARC21	ADJ	1	6	12	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
.	PUNCT	0	6	13	A catalogação descritiva utiliza padrões internacionais como o RDA e o formato MARC21 .
Bibliotecas	NOUN	1	7	0	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
públicas	ADJ	0	7	1	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
desempenham	VERB	1	7	2	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
um	DET	0	7	3	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
papel	NOUN	0	7	4	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
fundamental	ADJ	0	7	5	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
na	ADP	0	7	6	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
promoção	NOUN	0	7	7	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
do	ADP	0	7	8	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
letramento	NOUN	1	7	9	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
informacional	ADJ	1	7	10	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
na	ADP	0	7	11	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
sociedade	NOUN	0	7	12	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
.	PUNCT	0	7	13	Bibliotecas públicas desempenham um papel fundamental na promoção do letramento informacional na sociedade .
A	DET	0	8	0	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
indexação	NOUN	1	8	1	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
de	ADP	0	8	2	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
documentos	NOUN	0	8	3	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
facilita	VERB	1	8	4	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
a	DET	0	8	5	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
recuperação	NOUN	0	8	6	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
da	ADP	0	8	7	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
informação	NOUN	0	8	8	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
em	ADP	0	8	9	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
bases	NOUN	0	8	10	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
de	ADP	0	8	11	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
dados	NOUN	0	8	12	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
especializadas	VERB	0	8	13	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
.	PUNCT	0	8	14	A indexação de documentos facilita a recuperação da informação em bases de dados especializadas .
O	DET	0	9	0	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Manifesto	PROPN	1	9	1	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
da	ADP	0	9	2	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
IFLA	PROPN	1	9	3	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
para	ADP	0	9	4	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Bibliotecas	PROPN	1	9	5	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Públicas	PROPN	0	9	6	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
destaca	VERB	0	9	7	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
a	DET	0	9	8	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
importância	NOUN	0	9	9	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
do	ADP	0	9	10	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
acesso	NOUN	0	9	11	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
livre	ADJ	0	9	12	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
ao	ADP	0	9	13	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
conhecimento	NOUN	0	9	14	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
.	PUNCT	0	9	15	O Manifesto da IFLA para Bibliotecas Públicas destaca a importância do acesso livre ao conhecimento .
Serviços	NOUN	0	10	0	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
de	ADP	0	10	1	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
referência	NOUN	0	10	2	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
auxiliam	VERB	1	10	3	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
os	DET	0	10	4	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
usuários	NOUN	0	10	5	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
na	ADP	0	10	6	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
busca	NOUN	0	10	7	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
por	ADP	0	10	8	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
fontes	NOUN	0	10	9	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
de	ADP	0	10	10	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
informação	NOUN	0	10	11	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
confiáveis	ADJ	1	10	12	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
e	CCONJ	0	10	13	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
acadêmicas	ADJ	1	10	14	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
.	PUNCT	0	10	15	Serviços de referência auxiliam os usuários na busca por fontes de informação confiáveis e acadêmicas .
A	DET	0	11	0	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
automação	NOUN	1	11	1	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
de	ADP	0	11	2	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
bibliotecas	NOUN	0	11	3	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
utiliza	VERB	0	11	4	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
softwares	NOUN	0	11	5	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
como	ADP	0	11	6	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
o	DET	0	11	7	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
Koha	PROPN	1	11	8	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
e	CCONJ	0	11	9	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
o	DET	0	11	10	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
Pergamum	PROPN	1	11	11	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
para	SCONJ	0	11	12	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
gerenciar	VERB	1	11	13	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
acervos	NOUN	1	11	14	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
.	PUNCT	0	11	15	A automação de bibliotecas utiliza softwares como o Koha e o Pergamum para gerenciar acervos .
Metadados	NOUN	1	12	0	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
são	AUX	0	12	1	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
fundamentais	ADJ	0	12	2	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
para	ADP	0	12	3	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
a	DET	0	12	4	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
descrição	NOUN	0	12	5	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
e	CCONJ	0	12	6	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
organização	NOUN	0	12	7	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
de	ADP	0	12	8	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
recursos	NOUN	0	12	9	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
em	ADP	0	12	10	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
ambientes	NOUN	0	12	11	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
digitais	ADJ	0	12	12	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
.	PUNCT	0	12	13	Metadados são fundamentais para a descrição e organização de recursos em ambientes digitais .
A	DET	0	13	0	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
biblioteca	NOUN	0	13	1	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
escolar	ADJ	0	13	2	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
é	AUX	0	13	3	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
um	DET	0	13	4	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
espaço	NOUN	0	13	5	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
de	ADP	0	13	6	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
apoio	NOUN	0	13	7	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
pedagógico	ADJ	1	13	8	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
que	PRON	0	13	9	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
estimula	VERB	1	13	10	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
o	DET	0	13	11	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
hábito	NOUN	0	13	12	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
da	ADP	0	13	13	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
leitura	NOUN	0	13	14	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
.	PUNCT	0	13	15	A biblioteca escolar é um espaço de apoio pedagógico que estimula o hábito da leitura .
O	DET	0	14	0	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
controle	NOUN	0	14	1	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
de	ADP	0	14	2	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
autoridades	NOUN	0	14	3	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
garante	VERB	0	14	4	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
a	DET	0	14	5	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
consistência	NOUN	1	14	6	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
dos	ADP	0	14	7	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
nomes	NOUN	0	14	8	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
de	ADP	0	14	9	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
autores	NOUN	0	14	10	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
nos	ADP	0	14	11	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
catálogos	NOUN	1	14	12	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
bibliográficos	ADJ	1	14	13	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
.	PUNCT	0	14	14	O controle de autoridades garante a consistência dos nomes de autores nos catálogos bibliográficos .
A	DET	0	15	0	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
ciência	NOUN	0	15	1	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
da	ADP	0	15	2	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
informação	NOUN	0	15	3	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
estuda	VERB	0	15	4	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
as	DET	0	15	5	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
propriedades	NOUN	0	15	6	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
e	CCONJ	0	15	7	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
o	DET	0	15	8	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
fluxo	NOUN	0	15	9	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
da	ADP	0	15	10	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
informação	NOUN	0	15	11	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
na	ADP	0	15	12	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
sociedade	NOUN	0	15	13	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
moderna	ADJ	0	15	14	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
.	PUNCT	0	15	15	A ciência da informação estuda as propriedades e o fluxo da informação na sociedade moderna .
Bibliotecas	NOUN	1	16	0	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
digitais	ADJ	0	16	1	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
permitem	VERB	0	16	2	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
o	DET	0	16	3	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
acesso	NOUN	0	16	4	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
remoto	ADJ	1	16	5	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
a	ADP	0	16	6	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
livros	NOUN	0	16	7	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
e	CCONJ	0	16	8	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
documentos	NOUN	0	16	9	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
raros	ADJ	0	16	10	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
em	ADP	0	16	11	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
alta	ADJ	0	16	12	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
resolução	NOUN	0	16	13	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
.	PUNCT	0	16	14	Bibliotecas digitais permitem o acesso remoto a livros e documentos raros em alta resolução .
A	DET	0	17	0	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
conservação	NOUN	0	17	1	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
preventiva	ADJ	1	17	2	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
de	ADP	0	17	3	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
obras	NOUN	0	17	4	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
raras	ADJ	0	17	5	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
envolve	VERB	0	17	6	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
o	DET	0	17	7	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
controle	NOUN	0	17	8	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
de	ADP	0	17	9	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
temperatura	NOUN	0	17	10	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
e	CCONJ	0	17	11	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
umidade	NOUN	0	17	12	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
nos	ADP	0	17	13	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
acervos	NOUN	1	17	14	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
.	PUNCT	0	17	15	A conservação preventiva de obras raras envolve o controle de temperatura e umidade nos acervos .
O	DET	0	18	0	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
empréstimo	NOUN	0	18	1	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
entre	ADP	0	18	2	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
bibliotecas	NOUN	0	18	3	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
amplia	VERB	0	18	4	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
o	DET	0	18	5	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
acesso	NOUN	0	18	6	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
a	ADP	0	18	7	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
materiais	NOUN	0	18	8	O empréstimo entre bibliotecas amplia o acesso a materiais que não estão disponíveis localmente .
